seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter14_scan_aware_chase	148716.578124	random_1000	206006.000000	-57289.4	0.721904	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter1_1000	175604.000000	-26887.4	0.846886	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter2_hit_compatible_heatmap_reference	172466.000000	-23749.4	0.862295	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter3_kill_segment_reference	168720.000000	-20003.4	0.88144	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter4_hit_required_heatmap_reference	167001.000000	-18284.4	0.890513	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter5_single_hit_damped_chase_reference	166948.000000	-18231.4	0.890796	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter6_normalized_hunt_heatmap_reference	166703.000000	-17986.4	0.892105	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260624T165518Z_iter6_normalized_hunt_heatmap/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter7_blended_heatmap_a50_reference	165996.000000	-17279.4	0.895905	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260624T165925Z_iter7_blended_heatmap_a50/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter8_tuned_constants_reference	165398.000000	-16681.4	0.899144	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260624T171515Z_tune_s2_a0p60_sh0p50_cb0p0000/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter8_scan_density_heatmap_reference	165350.718049	-16634.1	0.899401	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter9_scan_gate_p030_reference	162152.762637	-13436.2	0.917139	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260625T013305Z_iter9_scan_gate_p030/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter10_scan_threshold_p050_reference	157848.628917	-9132.05	0.942147	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260625T025301Z_scanthr_s1_p0p50/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter11_scan_threshold_p100_reference	152535.906257	-3819.33	0.974961	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260625T030041Z_scanthr_hi_s1_p1p00/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter12_conditional_scan_policy_p050_reference	152216.578124	-3500	0.977006	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260625T063453Z_iter12_conditional_scan_policy_p050/run_1_1000.log
1,1000	iter14_scan_aware_chase	148716.578124	iter13_scan_weighted_heatmap_reference	148363.578124	353	1.00238	benchmarks/20260625T085615Z_iter14_scan_aware_chase/run_1_1000.log	benchmarks/20260625T083623Z_iter13_scan_weighted_heatmap/run_1_1000.log
