seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter19_particle_posterior_v1	139349.033399	random_1000	206006.000000	-66657	0.676432	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter1_1000	175604.000000	-36255	0.793541	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter2_hit_compatible_heatmap_reference	172466.000000	-33117	0.80798	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter3_kill_segment_reference	168720.000000	-29371	0.825919	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter4_hit_required_heatmap_reference	167001.000000	-27652	0.83442	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter5_single_hit_damped_chase_reference	166948.000000	-27599	0.834685	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter6_normalized_hunt_heatmap_reference	166703.000000	-27354	0.835912	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260624T165518Z_iter6_normalized_hunt_heatmap/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter7_blended_heatmap_a50_reference	165996.000000	-26647	0.839472	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260624T165925Z_iter7_blended_heatmap_a50/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter8_tuned_constants_reference	165398.000000	-26049	0.842507	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260624T171515Z_tune_s2_a0p60_sh0p50_cb0p0000/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter8_scan_density_heatmap_reference	165350.718049	-26001.7	0.842748	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter9_scan_gate_p030_reference	162152.762637	-22803.7	0.859369	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260625T013305Z_iter9_scan_gate_p030/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter10_scan_threshold_p050_reference	157848.628917	-18499.6	0.882802	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260625T025301Z_scanthr_s1_p0p50/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter11_scan_threshold_p100_reference	152535.906257	-13186.9	0.913549	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260625T030041Z_scanthr_hi_s1_p1p00/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter12_conditional_scan_policy_p050_reference	152216.578124	-12867.5	0.915466	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260625T063453Z_iter12_conditional_scan_policy_p050/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter13_scan_weighted_heatmap_reference	148363.578124	-9014.54	0.93924	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260625T083623Z_iter13_scan_weighted_heatmap/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter14f_infer_killed_hits_n_reference	148363.578124	-9014.54	0.93924	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260625T092555Z_iter14f_infer_killed_hits_n/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter16_scan_threshold_p025_reference	147673.033399	-8324	0.943632	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260625T093857Z_tune_scanthr_p025_1_1000/run_1_1000.log
1,1000	iter19_particle_posterior_v1	139349.033399	iter17_placement_based_kill_inference_reference	139876.033399	-527	0.996232	benchmarks/20260629T063547Z_iter19_particle_posterior_v1/run_1_1000.log	benchmarks/20260625T095348Z_iter17_placement_based_kill_inference/run_1_1000.log
