seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	random_1000	206006.000000	-68432	0.667816	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter1_1000	175604.000000	-38030	0.783433	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter2_hit_compatible_heatmap_reference	172466.000000	-34892	0.797688	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter3_kill_segment_reference	168720.000000	-31146	0.815398	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter4_hit_required_heatmap_reference	167001.000000	-29427	0.823792	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter5_single_hit_damped_chase_reference	166948.000000	-29374	0.824053	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter6_normalized_hunt_heatmap_reference	166703.000000	-29129	0.825264	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260624T165518Z_iter6_normalized_hunt_heatmap/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter7_blended_heatmap_a50_reference	165996.000000	-28422	0.828779	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260624T165925Z_iter7_blended_heatmap_a50/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter8_tuned_constants_reference	165398.000000	-27824	0.831776	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260624T171515Z_tune_s2_a0p60_sh0p50_cb0p0000/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter8_scan_density_heatmap_reference	165350.718049	-27776.7	0.832014	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter9_scan_gate_p030_reference	162152.762637	-24578.7	0.848422	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260625T013305Z_iter9_scan_gate_p030/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter10_scan_threshold_p050_reference	157848.628917	-20274.6	0.871557	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260625T025301Z_scanthr_s1_p0p50/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter11_scan_threshold_p100_reference	152535.906257	-14961.9	0.901912	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260625T030041Z_scanthr_hi_s1_p1p00/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter12_conditional_scan_policy_p050_reference	152216.578124	-14642.5	0.903805	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260625T063453Z_iter12_conditional_scan_policy_p050/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter13_scan_weighted_heatmap_reference	148363.578124	-10789.5	0.927276	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260625T083623Z_iter13_scan_weighted_heatmap/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter14f_infer_killed_hits_n_reference	148363.578124	-10789.5	0.927276	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260625T092555Z_iter14f_infer_killed_hits_n/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter16_scan_threshold_p025_reference	147673.033399	-10099	0.931612	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260625T093857Z_tune_scanthr_p025_1_1000/run_1_1000.log
1,1000	iter33b_corrupt_fallback_boost	137574.033399	iter17_placement_based_kill_inference_reference	139876.033399	-2302	0.983543	benchmarks/20260630T164218Z_iter33b_corrupt_fallback_boost/run_1_1000.log	benchmarks/20260625T095348Z_iter17_placement_based_kill_inference/run_1_1000.log
